Years,Burundi,Benin,Brazil,Costa Rica,Cyprus,Haiti,Italy,Sri Lanka,Maldives,Malaysia,Nigeria
1998,74.49376947,27.04859879,27.29268713,37.5048962,15.60606061,61.32075472,52.64696882,37.13921225,26.66666667,21.13742201,72.3095293
1999,73.48130841,27.58070238,27.3050942,36.97610654,15.60606061,61.32075472,53.71799667,37.39435497,26.66666667,21.14472683,72.48883362
2000,72.70249221,28.33451579,27.31750126,36.03603604,15.31385281,61.32075472,52.87807979,37.47408707,30,21.11915995,72.66813795
2001,72.07943925,28.9553033,27.32990833,35.89894242,15.15151515,60.59506531,52.42156379,37.49003349,33.33333333,21.14442246,72.84744337
2002,71.41744548,29.8421426,27.3423154,35.76184881,15.15151515,60.59506531,51.64717738,37.56976559,40,21.41987521,73.02674879
2003,71.37850467,30.74671869,27.35472246,35.82060321,16.66666667,60.59506531,50.40951176,37.79301547,40,21.65953432,73.20605422
2004,71.96261682,30.74671869,27.36712953,35.6835096,16.88311688,60.59506531,50.32835336,36.83623027,36.66666667,21.70658956,73.38535964
2005,70.83333333,30.89748138,27.3795366,35.35056796,18.07359307,60.59506531,49.83125816,40.02551427,30,21.71483792,73.56466506
2006,70.95015576,29.62043278,27.39257777,35.54641598,16.99134199,60.59506531,48.02886534,38.90926487,23.33333333,21.53462182,73.74397049
2007,71.06697819,29.70911671,27.47881706,35.25264395,15.93073593,66.03773585,47.89021974,38.11194387,23.33333333,21.63201948,73.92327591
2008,71.18380062,31.48279532,27.56505634,35.11555033,12.51082251,64.22351234,48.88846807,41.38095997,23.33333333,21.76350632,74.10258133
2009,71.30062305,32.36963462,27.65129562,35.56600078,13.80952381,65.17888244,47.28288437,41.62015627,23.33333333,21.97534622,74.28188676
2010,71.37850467,32.36963462,27.73753491,35.62475519,12.39177489,67.85195936,48.45088902,41.77962048,23,22.49064069,74.46119218
2011,73.32554517,32.36963462,27.82377419,35.62475519,12.58658009,66.40058055,46.84395268,43.53372668,23,22.92071222,74.6404976
2012,75.27258567,33.25647393,27.91001347,35.48766157,12.65151515,64.22351234,46.42598692,43.69319088,21.33333333,23.8295541,74.81980302
2013,79.16666667,35.03015254,27.99625275,35.27222875,11.77813853,66.76342525,46.09120852,43.69319088,21.33333333,24.52990412,74.99910845
2014,79.16666667,35.03015254,28.08249204,34.8217783,11.79437229,66.76342525,44.5086197,43.69319088,21.33333333,24.62030132,75.17841387
2015,79.16666667,35.03015254,28.16873132,34.8119859,13.70995671,66.76342525,43.77481249,44.26994975,21.33333333,26.08421854,75.35771929
2016,79.16666667,35.03015254,28.2549706,34.8119859,11.83874459,66.76342525,43.32505969,44.43151891,21.33333333,26.08735352,75.53702043
2017,79.16666667,35.03015254,28.34106631,34.8511555,13.14069264,66.76342525,43.3743296,44.59631945,21.33333333,26.08735352,75.71631696
2018,79.16666667,35.03015254,28.34109036,34.90990991,14.27345238,66.76342525,41.94874847,45.44807966,21.33333333,26.08735352,75.8956158
2019,79.16666667,35.03015254,28.34109036,34.77281629,13.5491342,66.76342525,44.36999564,45.44729471,21.33333333,26.08735352,76.07491463
2020,79.16666667,35.03015254,28.34109036,34.49862906,14.51611472,66.76342525,43.95756754,45.45748464,21.33333333,26.08735352,76.25421347
